🍊综合频道,#genre#
天津卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=tjwshd
西藏卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xzws
新疆卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xjws
湖南卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hnwshd
东方卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dfwshd
浙江卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=zjwshd
江苏卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jswshd
湖北卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hbwshd
甘肃卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gswshd
云南卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ynwshd
广东卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdwshd
深圳卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=szwshd
兵团卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=btws
厦门卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xmws

❤️CCTV-频道,#genre#

CCTV-4K超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K超高清,http://107.150.60.122/live/cctv8k.m3u8
CCTV1,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv1
CCTV1,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv1b
CCTV2,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv2
CCTV3,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv3
CCTV4,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv4
CCTV4欧洲,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv4o
CCTV4美洲,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv4a
CCTV5+,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv5p
CCTV5+,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv5p2
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV5,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv5
CCTV5,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv5b
CCTV6,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv6
CCTV7,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv7
CCTV8,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv8
CCTV9,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv9
CCTV10,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv10
CCTV11,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv11
CCTV12,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv12
CCTV13,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv13
CCTV14,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv14
CCTV15,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv15
CCTV-16HD,http://107.150.60.122/live/cctv16hd.m3u8
CCTV17,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv17
CCTV-17HD,http://107.150.60.122/live/cctv17hd.m3u8

CCTV1-综合,http://223.78.65.165:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://223.78.65.165:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://114.254.90.136:8888/rtp/239.3.1.60:8084
CCTV3-综艺,http://223.78.65.165:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://223.78.65.165:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://223.78.65.165:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://223.78.65.165:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://223.78.65.165:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://223.78.65.165:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://223.78.65.165:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://223.78.65.165:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
